FluxView - FluxMed acquisition system
Signal file
Serial Number	:
SW version:	1.37a-OX-CO2	File version:	1.15
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
Sec	l/min	ml	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	mmHg	
FluxView - FluxMed acquisition system
Parameters file
Serial Number:	SYNTHETIC
SW version:	1.37a-OX-CO2	File version:	1.15
Tiempo	RR	RSBI	Pplat	VT	Ti	Te	I:E	MV	NIP	PEEP	PEF	PIF	PIP	VTi	VTe	Ti/Tt	Cdyn	MAP	RAW	Cstat	PEP	PIMAX	PEMAX	P01	PLei	PLee	PesSwing	PEEPidyn	CLdyn	PTP_PEEPiMin	PTP_NonPEEPiMin	PTP_ResMin	PTP_TotMin	PTP_PEEPi	PTP_NonPEEPi	PTP_Res	PTP_System	PTP_Patient	PTP_Ventilator	WOBresInsp	WOBresEsp	WOBresEspAct	WOBelast	WOBelastPEEPi	WOBelastInspNeg	StressIndex	StressIndexTransp	EtCO2	VCO2	VCO2insp	VCO2min	PACO2	PECO2	PaCO2	VDbr/VT	VDbe/VT	VDfis	VDaw	VDalv	VTalv	VDalv/VTalv	VDaw/VT	VDalv/VT	SIII	AvgCount	SpO2	Comments	
sec	bpm	bpm/ml	cmH2O	ml	sec	sec	-	l	cmH2O	cmH2O	l/min	l/min	cmH2O	ml	ml	-	ml/cmH2O	cmH2O	cmH2O/l/min	ml/cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	ml/cmH2O	cmH2O.s/min	cmH2O.s/min	cmH2O.s/min	cmH2O.s/min	cmH2O.s	cmH2O.s	cmH2O.s	cmH2O.s	cmH2O.s	cmH2O.s	cmH2O.l	cmH2O.l	cmH2O.l	cmH2O.l	cmH2O.l	cmH2O.l	-	-	mmHg	ml	ml	ml/min	mmHg	mmHg	mmHg	-	-	ml	ml	ml	ml	-	-	-	mmHg/ml	n	%	-	
0,00000000	7,5	-157	0,2	-1,6	6,1	-0,0	-6,4	1,7	
0,00390625	2,6	-169	-0,2	-2,5	5,4	-0,1	-6,2	2,0	
0,00781250	3,8	-167	0,0	-2,7	5,5	-0,1	-6,6	1,7	
0,01171875	3,2	-227	-0,1	-2,0	5,7	-0,1	-6,4	2,2	
0,01562500	4,8	-199	-0,1	-2,3	5,1	-0,1	-5,9	1,7	
0,01953125	3,3	-199	-0,2	-2,9	5,3	-0,1	-6,2	2,2	
0,02343750	3,6	-211	0,0	-1,9	5,4	-0,1	-5,2	2,5	
0,02734375	5,0	-142	-0,1	-1,3	5,4	-0,1	-6,3	2,5	
0,03125000	4,8	-197	0,1	-1,4	5,6	-0,1	-6,3	2,2	
0,03515625	5,5	-243	-0,2	-2,2	5,9	-0,1	-5,7	1,8	
0,03906250	4,4	-155	-0,2	-2,6	5,9	-0,1	-5,7	1,5	
0,04296875	4,4	-100	-0,1	-1,6	4,6	-0,1	-5,6	1,7	
0,04687500	4,2	-163	0,3	-2,0	6,1	-0,1	-6,4	1,7	
0,05078125	3,2	-151	-0,4	-2,2	5,2	-0,1	-5,9	2,4	
0,05468750	3,0	-176	0,1	-1,7	6,2	-0,1	-6,8	2,0	
0,05859375	6,1	-233	-0,3	-1,9	4,9	-0,1	-6,4	2,2	
